High,Low,Open,Close,Volume,Adj Close
446.010009765625,440.19000244140625,446.010009765625,440.6199951171875,5124200,440.6199951171875
444.5,426.6300048828125,443.2200012207031,432.69000244140625,5971000,432.69000244140625
433.8500061035156,428.6400146484375,431.0400085449219,430.1199951171875,2844300,430.1199951171875
432.0,422.0799865722656,429.70001220703125,424.4599914550781,4159400,424.4599914550781
434.3500061035156,416.44000244140625,423.3599853515625,422.55999755859375,4893600,422.55999755859375
423.42999267578125,415.5,416.7699890136719,422.5400085449219,3794900,422.5400085449219
402.6700134277344,365.54998779296875,371.2699890136719,400.010009765625,34742200,400.010009765625
390.0,368.0,384.7099914550781,375.4100036621094,36922600,375.4100036621094
381.7699890136719,363.3299865722656,378.42999267578125,377.1400146484375,32662300,377.1400146484375
380.3900146484375,372.1000061035156,374.989990234375,373.29998779296875,13514100,373.29998779296875
385.7099914550781,366.45001220703125,370.8800048828125,378.989990234375,26697700,378.989990234375
373.07000732421875,367.20001220703125,370.0,372.2799987792969,13119200,372.2799987792969
378.7699890136719,371.010009765625,371.1400146484375,373.42999267578125,9856100,373.42999267578125
380.79998779296875,373.67999267578125,374.70001220703125,376.1600036621094,8737600,376.1600036621094
377.0,372.2300109863281,374.0400085449219,372.70001220703125,6951000,372.70001220703125
369.8599853515625,361.5299987792969,368.7900085449219,362.1700134277344,10143900,362.1700134277344
371.2099914550781,362.8900146484375,365.0,370.4599914550781,7939600,370.4599914550781
375.6000061035156,367.6000061035156,375.5799865722656,370.3800048828125,6479700,370.3800048828125
376.6600036621094,365.54998779296875,371.8900146484375,374.2099914550781,9478800,374.2099914550781
376.6600036621094,372.3299865722656,376.6000061035156,374.44000244140625,4659947,374.44000244140625
